Occupation_x	Occupation_y	summary	sampleTitles
Actors	Actors	Play parts in stage, television, radio, video, motion picture productions, or other settings for entertainment, information, or instruction. Interpret serious or comic role by speech, gesture, and body movement to entertain or inform audience. May dance and sing.	Actor, Actress, Comedian, Comic, Community Theater Actor, Narrator, Stand Up Comedian, Theatre Ensemble Member, Understudy, Voice-Over Artist
Art Directors	Art Directors	Formulate design concepts and presentation approaches for visual communications media, such as print, broadcasting, and advertising. Direct workers engaged in art work or layout design.	Art Director; Art Supervisor; Creative Director; Creative Guru; Design Director; Designer; Director of Creative Services, Consumer Products; Group Art Supervisor; Production Manager; Senior Art Director
Artists and Related Workers, All Other	Artists and Related Workers, All Other	All artists and related workers not listed separately.	none
Athletes and Sports Competitors	Athletes and Sports Competitors	Compete in athletic events.	Baseball Pitcher, Baseball Player, Basketball Player, Golf Professional, Hockey Player, Major League Baseball Player, Minor League Baseball Player, Professional Athlete, Professional Golf Tournament Player, Race Car Driver
Audio and Video Equipment Technicians	Audio and Video Equipment Technicians	Set up, or set up and operate audio and video equipment including microphones, sound speakers, video screens, projectors, video monitors, recording equipment, connecting wires and cables, sound and mixing boards, and related electronic equipment for concerts, sports events, meetings and conventions, presentations, and news conferences. May also set up and operate associated spotlights and other custom lighting systems.	Audio Technician, Audio Visual Specialist, Audio Visual Technician, Audio/Visual Manager, Broadcast Engineer, Master Control Operator (MCO), Operations Technician, Production Assistant, Stagehand, Videographer
Broadcast News Analysts	Broadcast News Analysts	Analyze, interpret, and broadcast news received from various sources.	Anchor, Broadcast Meteorologist, News Anchor, News Director, Sports Director, Television News Anchor (TV News Anchor), Weekend Anchor
Broadcast Technicians	Broadcast Technicians	Set up, operate, and maintain the electronic equipment used to transmit radio and television programs. Control audio equipment to regulate volume level and quality of sound during radio and television broadcasts. Operate transmitter to broadcast radio or television programs.	Audio Engineer, Board Operator, Broadcast Engineer, Broadcast Maintenance Engineer, Broadcast Operations Engineer, Broadcast Technician, Engineer, Master Control Operator (MCO), Master Control Supervisor, Production Assistant
Camera Operators, Television, Video, and Motion Picture	Camera Operators, Television, Video, and Motion Picture	Operate television, video, or motion picture camera to record images or scenes for various purposes, such as TV broadcasts, advertising, video production, or motion pictures.	Camera Operator, Cameraman, Floor Director, Master Control Operator (MCO), Photojournalist, Production Assistant, Production Technician, Studio Camera Operator, Television News Photographer, Videographer
Choreographers	Choreographers	Create new dance routines. Rehearse performance of routines. May direct and stage presentations.	Artistic Director, Choreographer, Dance Director
Coaches and Scouts	Coaches and Scouts	Instruct or coach groups or individuals in the fundamentals of sports. Demonstrate techniques and methods of participation. May evaluate athletes' strengths and weaknesses as possible recruits or to improve the athletes' technique to prepare them for competition. Those required to hold teaching degrees should be reported in the appropriate teaching category.	Assistant Basketball Coach, Assistant Coach, Assistant Football Coach, Baseball Coach, Basketball Coach, Coach, Cross Country/Track and Field Coach, Director of Athletics, Football Coach, Volleyball Coach
Commercial and Industrial Designers	Commercial and Industrial Designers	Develop and design manufactured products, such as cars, home appliances, and children's toys. Combine artistic talent with research on product use, marketing, and materials to create the most functional and appealing product design.	Design Engineer, Designer, Engineer, Industrial Designer, Mechanical Designer, Product Design Engineer, Product Designer, Product Development Engineer, Product Engineer, Project Engineer
Copy Writers	Copy Writers	Write advertising copy for use by publication or broadcast media to promote sale of goods and services.	Account Executive, Advertising Associate, Advertising Copy Writer, Advertising Writer, Communications Specialist, Copy Writer, Copywriter, Freelance Copywriter, Production Director, Web Content Writer
Poets, Lyricists and Creative Writers	Poets, Lyricists and Creative Writers	Create original written works, such as scripts, essays, prose, poetry or song lyrics, for publication or performance.	Author, Book Reviewer, Creative Writer, Documentary Script Writer, Freelance Journalist, Freelance Writer, Librettist, Lyricist, Novelist, Songwriter
Writers and Authors	Writers and Authors	Originate and prepare written material, such as scripts, stories, advertisements, and other material.	none
Craft Artists	Craft Artists	Create or reproduce hand-made objects for sale and exhibition using a variety of techniques, such as welding, weaving, pottery, and needlecraft.	Artist, Ceramic Artist, Designer, Fiber Artist, Fine Craft Artist, Furniture Maker, Glass Artist, Glass Blower, Goldsmith, Hand-Weaver
Dancers	Dancers	Perform dances. May perform on stage, for on-air broadcasting, or for video recording.	Ballerina, Ballet Company Member, Ballet Dancer, Ballet Soloist, Belly Dancer, Company Dancer, Dance Artist, Dancer, Performing Artist, Soloist Dancer
